Gene.symbol	Gene.ID	adj.P.Val	logFC
FREM1	158326	1.34820632311085e-43	-3.41002837802255
HLF	3131	2.6828785934188e-24	-4.14055901189461
		2.04974240197435e-19	-2.97223639116797
SGCZ	137868	2.02148678628202e-18	-1.87804439821765
NKAIN2	154215	3.12043414297806e-18	-4.67334403393938
MPDZ	8777	7.25538034553904e-18	-3.66937979344559
CP	1356	1.9958256179445e-17	-2.84687727873252
PRKG2	5593	3.93047709450775e-17	-5.87456375075147
		1.88611314733767e-16	-2.49849811773023
NAP1L3	4675	3.15775353793018e-16	-4.12043842185196
RNF17	56163	3.42827719815898e-16	-1.48093242523252
CRHBP	1393	2.33903837892337e-15	-4.41225756947435
PRKG1	5592	8.99441669019425e-15	-1.9752131355049
PDZD2	23037	1.1749418108802e-14	-2.44196948978382
MYCT1	80177	1.50379068334802e-14	-5.55387504237663
LRCH2	57631	2.0789805297243e-14	-2.05296399062157
SPOCK3	50859	3.14518452817571e-14	-2.01950195060539
DPPA4	55211	5.6539284204182e-14	-3.7073295128268
ADGRG6	57211	8.25431405064485e-14	-4.54003425198954
ABI3BP	25890	2.01867226186615e-13	-1.66529207206471
ST6GAL2	84620	3.13776780359314e-13	-2.07122594287908
LIMCH1	22998	3.27814459810625e-12	-2.20987334695801
FAM19A2	338811	1.28200699048032e-11	-3.51650696593987
PGM5P2///PGM5	595135///5239	1.8578023771705e-11	-3.47913029225343
ELN	2006	4.5553239420406e-11	-1.94822023187663
GPC5	2262	5.57548443297471e-11	-1.85548034817958
		7.627740983807e-11	2.08094522295883
PLOD2	5352	1.72469865028944e-10	-4.3588229590884
SLC25A27	9481	2.43812881104001e-10	-3.00848867263219
CEP126	57562	5.97893814353334e-10	-2.77959478089297
PGM5	5239	7.93487627696218e-10	-2.11141737657794
PDZRN4	29951	7.93487627696218e-10	-1.46002434412418
CDH7	1005	9.16011454164448e-10	-1.71771424127533
MIR23A	407010	2.80942211436528e-09	-2.89544327799396
MIR24-2	407013	4.41056824339822e-09	-3.61666024334755
SGIP1	84251	7.74276555332759e-09	-2.26687394384951
F2RL1	2150	8.91711483792528e-09	-2.75405295569853
GIPC2	54810	9.27214905657417e-09	-2.09596251921895
		1.08185167438388e-08	-2.67612293887974
RPS6KA6	27330	1.23795684296451e-08	-2.28522768404314
		2.20334932483399e-08	-3.11534782137925
TREM1	54210	2.27855985267129e-08	3.94318615574134
SLC22A17	51310	3.65693075409104e-08	-1.85745055052566
CCDC175	729665	6.52411243060236e-08	-2.18678605822843
		1.64111592354741e-07	-1.27340341496389
PLA2R1	22925	2.14530300239972e-07	-1.64222568800474
BEX2	84707	2.14530300239972e-07	-2.70272053708366
GPR21	2844	2.36822962591996e-07	-3.09017406302598
BMP6///BMP6	654///654	4.47873347727976e-07	-1.99018756565948
		6.46775141368342e-07	1.66751749725294
PLSCR4	57088	8.26993116544132e-07	-2.63595175913987
SYTL4	94121	9.39699745522543e-07	-3.10417393718382
CHRM3	1131	9.85876909423904e-07	-4.37870853996225
CYYR1	116159	1.33633000747901e-06	-3.74551485924494
STARD9	57519	1.66056185374052e-06	-2.89630706991422
LOC100129940	100129940	1.75818392913373e-06	-1.78698403587239
LAG3	3902	1.77473558353571e-06	-1.29730414308464
KLF3-AS1	79667	1.8082415712418e-06	-3.03989258103725
MIR27A	407018	1.86532719657263e-06	-2.30279603019788
HOOK1	51361	1.86532719657263e-06	-1.44922050037582
CSF1R	1436	1.86532719657263e-06	3.00060289723922
PRR11	55771	1.86532719657263e-06	2.96364113914967
SEMA3C	10512	2.07307539170328e-06	-2.19123001171127
METTL24	728464	2.17832111110389e-06	-1.7767580557683
GCNT2	2651	2.21834117706694e-06	-2.50404340531601
		2.47853268449525e-06	-1.12728415994902
DPYSL3	1809	2.47853268449525e-06	-2.01472155000131
PACRG	135138	2.57129682394063e-06	-1.52014310011307
		2.57129682394063e-06	-3.28283670219886
BEND7	222389	2.61752803040702e-06	-2.01629521448562
SEPT5-GP1BB	100526833	3.22095660568421e-06	-2.52474556672582
TRIM74///TRIM73///TRIM50	378108///375593///135892	3.66377597137063e-06	-1.80110339220196
TVP23A	780776	4.5050422556316e-06	-1.67388961195245
MAP2K7	5609	4.5050422556316e-06	1.36156219544183
BAIAP3	8938	4.65281215696398e-06	-1.43174173049363
ACPP	55	5.61562498272208e-06	3.02451241800882
RASSF9	9182	7.48632008895163e-06	-1.4446072176817
		1.12803311612586e-05	-2.46466698590703
ROBO4	54538	1.27680806568548e-05	-1.51615908450131
BEX5	340542	1.31909351694169e-05	-2.2883401562585
FGD5	152273	1.39380551753499e-05	-2.04218073670229
ADAP2	55803	1.58154008652679e-05	2.22570749515212
ZNF474	133923	1.79634421985865e-05	-1.34770740028742
SDR42E1	93517	2.01153892118521e-05	-2.41419535182663
CLEC7A	64581	2.47477143610078e-05	2.59014509668137
REN	5972	2.56989775577356e-05	-1.25509327633644
PRKCD	5580	2.69844105696567e-05	2.97269348045114
STARD9	57519	2.71087650724591e-05	-2.65584717039167
CRYGD	1421	3.22704768878288e-05	-1.42894805590016
MTURN	222166	3.53033750936137e-05	-2.91339776119297
MS4A6A	64231	3.83378280157751e-05	3.7064909671536
EVA1C	59271	3.88620539064965e-05	-1.74701043020572
FLJ11710	79904	3.88620539064965e-05	-2.60013598955964
		4.24735718966644e-05	1.71589136012908
ZNF106	64397	4.54151072001068e-05	1.59496870358889
FAT4	79633	6.33155323652748e-05	-1.72858548633987
CTSF	8722	6.68630592370357e-05	-2.12283933390196
SIGLEC9	27180	7.92647841176014e-05	1.82814579948268
		8.53150535886176e-05	1.11158120970588
HFM1	164045	8.53150535886176e-05	-1.74689314967255
PLCB4	5332	9.62915961356221e-05	-3.4361155904402
C10orf12	26148	9.62915961356221e-05	1.69982488716569
VIP	7432	9.64331048286921e-05	-0.880148957685457
		9.8062306395208e-05	-3.2763910023817
MKI67	4288	0.000102977988731826	2.7500889373232
		0.000102977988731826	-1.79124405267696
STARD9	57519	0.00010712630034324	-2.62317270662173
IL1RN	3557	0.000116294174293104	2.57873704656406
AVP	551	0.000120113264276796	-1.17116673598023
TMEM104	54868	0.000122558668199157	1.61057092942549
TTTY10	246119	0.000122558668199157	-3.11862792798938
DPP9	91039	0.000123550466952422	1.67721385847859
NAP1L2	4674	0.000123550466952422	-2.63467481256797
CFP	5199	0.000129497932471928	1.88185516715147
		0.000142085673854526	1.66165555156863
NID1	4811	0.000142085673854526	2.02494903383954
