Gene.symbol	Gene.ID	adj.P.Val	logFC
LRRN3	54674	1.99687825216838e-63	-5.15498282014662
DSC1	1823	4.98338634258386e-62	-3.29830939989575
TIGIT	201633	8.80084746912048e-54	-3.5497960438066
GPR15	2838	5.17005611887946e-52	-4.62275870709637
RASGRF2	5924	1.50652301200593e-50	-4.68199804880514
MGC40069///TRAV8-3	348035///28683	4.27481552242713e-49	-3.87114880948892
CTLA4	1493	8.53263703876775e-47	-4.09833254927489
HOOK1	51361	1.381816684886e-46	-2.72464295049202
EDAR	10913	4.87491771725108e-45	-2.72807185032508
CCDC88A	55704	9.64407013820159e-44	3.30105972320751
RIC3	79608	2.93016749867531e-43	-2.9362295894965
TRAJ17///TRAV12-2	28738///28673	5.27682626535188e-43	-4.17072169209909
OXNAD1	92106	8.52550120600392e-43	-3.1963724404912
MAMDC2	256691	1.668126722545e-42	4.42911705001662
SAMD3	154075	3.64359868453172e-40	-4.63124724219122
TSHZ2	128553	5.77730786312253e-39	-4.18148925119929
TRABD2A	129293	2.45119524340336e-38	-4.06431818546396
VSIG1	340547	4.5385380382396e-38	-5.82456318105012
KIAA1324	57535	6.91403681694131e-37	-3.65368433619879
TSHZ2	128553	1.27281435399598e-36	-2.84442818115531
		1.90971678860065e-36	-2.89599087297811
TMEM45B	120224	2.31176456402639e-36	-2.50250718923419
FLT3LG	2323	7.41537930193253e-36	-3.0964880808483
PCED1B	91523	3.35142802591709e-35	-3.89361907278655
ANK3	288	4.24072292773703e-35	-3.84126648911496
NELL2	4753	5.50405954867782e-35	-5.88740589651966
SCML4	256380	6.74462998123344e-35	-3.46491348922973
ADAM28	10863	1.16703227667651e-34	4.98198470367848
ABCD2	225	1.67978396683269e-34	-5.05215836033521
DTHD1	401124	1.1713391744568e-32	-2.90994675051924
ZNF483	158399	1.30644533989892e-32	-2.64379107703789
GPR171	29909	1.32297065195681e-32	-4.22621242261373
PLEKHB1	58473	1.32297065195681e-32	-2.71918851471252
MID2	11043	3.64558849120914e-32	-3.69656734509132
CD8B	926	5.27185496190178e-32	-3.58325915113505
TMEM204	79652	8.21869065213366e-32	-3.62554888858418
WNT7A	7476	3.14653923014815e-31	-1.78009671409564
MYB///MYB	4602///4602	1.24085656265197e-30	3.1192017220471
HPCAL4	51440	1.36296858272022e-30	-1.90649336804895
CBX7	23492	2.04211825153231e-30	-2.31381561814547
FAM198B	51313	2.54414558578739e-30	3.65251935835532
HAPLN3	145864	5.1431489367101e-30	-2.3589244097134
CHMP7	91782	1.11131185514915e-29	-2.69375938575458
DTL	51514	1.2432206068864e-29	3.68155504056519
B3GALT2	8707	1.94118674774007e-29	-1.96322338855233
TYMS	7298	6.34698742515178e-29	3.45847583097918
LINS1	55180	6.34698742515178e-29	-2.36439405491721
GNB4	59345	1.61697148722869e-28	4.31685244021817
AMIGO1	57463	2.57088904736833e-28	-1.72051970846672
FAM153C///FAM153A///FAM153B	653316///285596///202134	4.02953932914007e-28	-3.02833110188706
KIAA0101	9768	4.06089609432132e-28	4.43513050806505
AKTIP	64400	4.06089609432132e-28	-3.42472392157152
		6.11449911450683e-28	-3.82178113189926
MAN1C1	57134	1.00484320809468e-27	-2.36063069873462
SLC26A11	284129	1.17752215784207e-27	-1.85755724557532
ZNF204P	7754	2.02454311020933e-27	-2.90006254192287
SIRPG	55423	2.85584924607535e-27	-4.58153967170799
SLC4A10	57282	3.01934676788198e-27	-1.94554480617612
CCDC65	85478	3.47022700352991e-27	-1.99585897703054
TSPAN18	90139	4.19626106208284e-27	-2.96621632894475
FADS1	3992	1.00797543055333e-26	3.47804606222431
PCSK7	9159	1.39636830775359e-26	-1.97194295759765
ZBP1	81030	3.72706754865977e-26	-1.97254689971815
APBB1	322	4.16740736398728e-26	-2.99396340895218
FBXO32	114907	4.16740736398728e-26	-3.91653960693459
SYNE1	23345	1.26023855235834e-25	-2.51714783431872
		1.59582675005453e-25	-2.75192759535029
FAAH2	158584	3.23488547244365e-25	-2.56161593861828
NAP1L3	4675	3.36877913087937e-25	-2.86042897874014
CD8B///CD8B	926///926	4.24511980015901e-25	-4.00064506134366
KIF5C	3800	6.01224224491051e-25	-2.2459103768382
RNF157	114804	6.29372898013615e-25	-3.38529830587395
SH2D3A	10045	7.11024325639478e-25	-1.72907617794879
RBBP8	5932	7.87269490154599e-25	2.91228594619211
ANKRD55	79722	9.45541315946295e-25	-2.49302403023971
ZNF101	94039	1.34705288414312e-24	-2.69941720845024
TRAF1	7185	1.47916250439881e-24	-2.53168461338103
AXIN2	8313	1.50017796284267e-24	-2.41055454543521
NPR3	4883	1.50017796284267e-24	4.31966079304262
BTLA	151888	1.57602196169135e-24	-3.19738605578703
LSR	51599	1.57602196169135e-24	-2.15493896382608
CSF1R	1436	2.02311175240553e-24	3.38340431505173
ATM	472	2.62233539038468e-24	-2.4706025482014
TREM1	54210	3.78670820053711e-24	3.85992527616147
		3.78670820053711e-24	4.96294188181091
P2RX1	5023	3.90428625180532e-24	4.90739207960393
DYRK2	8445	4.06056162874181e-24	-2.30932358795578
PRC1	9055	4.70263649177193e-24	3.17132641268417
TTC22	55001	1.1135114589561e-23	-1.71268323267745
BICDL1	92558	1.13298157718339e-23	-2.2889534399309
CLIC4	25932	1.40429934990993e-23	4.0373405947438
FADS2	9415	2.88759661881119e-23	3.65605836051864
		4.77224906067679e-23	5.0235911151449
EPHA1	2041	4.81224794994266e-23	-2.09297688182509
FCRL3	115352	5.73196656003963e-23	-3.01020609138671
SELM///SELM	140606///140606	5.77723047169325e-23	-1.9390570237613
NOSIP	51070	7.23382165273801e-23	-2.10700487334231
CCR7	1236	8.32443269373641e-23	-5.05973207788646
FAM102A	399665	9.07205640935344e-23	-4.04472713124133
OR6C4	341418	1.11946080836759e-22	-3.73047998032994
		1.12290895000565e-22	3.92550525209421
NPR3	4883	1.26997003827743e-22	4.40068935992573
PTX3	5806	1.3736329586066e-22	3.12415703273586
EVA1C	59271	1.47662717531131e-22	-2.09451566368778
PTPN4	5775	1.54935340886583e-22	-2.4678454372504
TCAF2P1///TCAF2	653691///285966	1.74534723437311e-22	-2.2805655324365
ZNF831	128611	1.88654275394892e-22	-2.3058084574768
MYBL1	4603	1.91978448086503e-22	-4.63463167176988
MBOAT7	79143	1.95461583355988e-22	2.463458489832
PLXDC1	57125	2.31170054931495e-22	-3.5947750366052
DOCK9	23348	3.11207407046079e-22	-4.86862941891462
ACPP	55	3.94062291732592e-22	3.3200679844624
GALT	2592	4.25031560975869e-22	-1.52630712955537
